interest,rtt(ms)
/skenario3--1/traffic2?MustBeFresh&Nonce=d203111c,10.490772
/skenario3--1/traffic1?MustBeFresh&Nonce=cd2490da,9.273291
/skenario3--1/traffic25?MustBeFresh&Nonce=7c70c7f8,9.327296
/skenario3--1/traffic22?MustBeFresh&Nonce=527587b4,9.050656
/skenario3--1/traffic9?MustBeFresh&Nonce=e2e8f3d4,9.115050
/skenario3--1/traffic46?MustBeFresh&Nonce=be632d2b,9.370423
/skenario3--1/traffic33?MustBeFresh&Nonce=416a54ac,9.553105
/skenario3--1/traffic18?MustBeFresh&Nonce=36cd0729,9.208786
/skenario3--1/traffic80?MustBeFresh&Nonce=61b60d9c,9.862023
/skenario3--1/traffic25?MustBeFresh&Nonce=f1a34050,2.979592
/skenario3--1/traffic58?MustBeFresh&Nonce=cea92adc,9.990229
/skenario3--1/traffic8?MustBeFresh&Nonce=ab796655,9.922341
/skenario3--1/traffic97?MustBeFresh&Nonce=1b3eb569,10.160774
/skenario3--1/traffic27?MustBeFresh&Nonce=a531b2b0,9.229185
/skenario3--1/traffic33?MustBeFresh&Nonce=ce472d27,3.101869
/skenario3--1/traffic23?MustBeFresh&Nonce=e2c13aef,9.284341
/skenario3--1/traffic65?MustBeFresh&Nonce=d59a388f,9.324296
/skenario3--1/traffic18?MustBeFresh&Nonce=a1f5f1ee,3.064739
/skenario3--1/traffic5?MustBeFresh&Nonce=42c21ec7,9.454654
/skenario3--1/traffic9?MustBeFresh&Nonce=3c95f219,3.162548
/skenario3--1/traffic83?MustBeFresh&Nonce=135f75d4,8.673058
/skenario3--1/traffic14?MustBeFresh&Nonce=084036b6,9.228294
/skenario3--1/traffic15?MustBeFresh&Nonce=7aa964ad,8.303670
/skenario3--1/traffic56?MustBeFresh&Nonce=da2fd146,8.694215
/skenario3--1/traffic9?MustBeFresh&Nonce=e1929760,3.099038
/skenario3--1/traffic83?MustBeFresh&Nonce=ddd481db,3.150096
/skenario3--1/traffic85?MustBeFresh&Nonce=6a646363,8.398854
/skenario3--1/traffic3?MustBeFresh&Nonce=8c0f0b32,8.375654
/skenario3--1/traffic65?MustBeFresh&Nonce=bd20eec2,3.131690
/skenario3--1/traffic11?MustBeFresh&Nonce=0415a647,8.450014
/skenario3--1/traffic3?MustBeFresh&Nonce=288b1269,3.096884
/skenario3--1/traffic33?MustBeFresh&Nonce=523b01e3,3.021282
/skenario3--1/traffic45?MustBeFresh&Nonce=806751af,8.571927
/skenario3--1/traffic9?MustBeFresh&Nonce=5df7db8a,3.370169
/skenario3--1/traffic78?MustBeFresh&Nonce=2fdb6cf1,8.559709
/skenario3--1/traffic94?MustBeFresh&Nonce=8c0c8b0b,8.451151
/skenario3--1/traffic64?MustBeFresh&Nonce=4095f8c2,8.348384
/skenario3--1/traffic29?MustBeFresh&Nonce=4ddc1a3c,8.346825
/skenario3--1/traffic24?MustBeFresh&Nonce=9e131bd0,8.291493
/skenario3--1/traffic11?MustBeFresh&Nonce=afddcaee,2.901680
/skenario3--1/traffic4?MustBeFresh&Nonce=58eef7a8,8.305706
/skenario3--1/traffic8?MustBeFresh&Nonce=cee7627b,3.014111
/skenario3--1/traffic8?MustBeFresh&Nonce=5454203e,2.957176
/skenario3--1/traffic5?MustBeFresh&Nonce=2dc567db,2.979236
/skenario3--1/traffic48?MustBeFresh&Nonce=4379e888,8.435159
