interest,rtt(ms)
/skenario1--1/traffic67?MustBeFresh&Nonce=588223da,11.171090
/skenario1--1/traffic76?MustBeFresh&Nonce=2811608c,10.495033
/skenario1--1/traffic12?MustBeFresh&Nonce=c8f588d4,10.107645
/skenario1--1/traffic13?MustBeFresh&Nonce=27c0dd05,8.132515
/skenario1--1/traffic94?MustBeFresh&Nonce=bf60bb2b,8.820279
/skenario1--1/traffic23?MustBeFresh&Nonce=a4b9dcf8,9.756847
/skenario1--1/traffic3?MustBeFresh&Nonce=df8185ad,10.507592
/skenario1--1/traffic12?MustBeFresh&Nonce=6166faa7,3.508681
/skenario1--1/traffic5?MustBeFresh&Nonce=bb48e471,10.112983
/skenario1--1/traffic5?MustBeFresh&Nonce=897a5632,7.561723
/skenario1--1/traffic85?MustBeFresh&Nonce=a0046a68,12.123448
/skenario1--1/traffic69?MustBeFresh&Nonce=2999d81c,11.177110
/skenario1--1/traffic28?MustBeFresh&Nonce=fd0927be,9.976676
/skenario1--1/traffic20?MustBeFresh&Nonce=87f5ec2d,10.813032
/skenario1--1/traffic64?MustBeFresh&Nonce=7f1bc6ff,10.575860
/skenario1--1/traffic64?MustBeFresh&Nonce=a1b5d553,1.471392
/skenario1--1/traffic8?MustBeFresh&Nonce=aa12edf4,9.334657
/skenario1--1/traffic8?MustBeFresh&Nonce=f3ad1dfc,4.499793
/skenario1--1/traffic55?MustBeFresh&Nonce=2d7c6591,9.678069
/skenario1--1/traffic9?MustBeFresh&Nonce=84fdeb65,9.528993
/skenario1--1/traffic71?MustBeFresh&Nonce=a961907a,8.520054
/skenario1--1/traffic5?MustBeFresh&Nonce=9bfcb654,3.086677
/skenario1--1/traffic40?MustBeFresh&Nonce=e24149df,8.509782
/skenario1--1/traffic39?MustBeFresh&Nonce=4a6bf301,7.635395
/skenario1--1/traffic61?MustBeFresh&Nonce=555f2394,7.916552
/skenario1--1/traffic55?MustBeFresh&Nonce=9ab0b029,2.678975
/skenario1--1/traffic3?MustBeFresh&Nonce=43f7429c,3.438713
/skenario1--1/traffic30?MustBeFresh&Nonce=29a78938,8.468568
/skenario1--1/traffic58?MustBeFresh&Nonce=f0f4cb03,8.398647
/skenario1--1/traffic38?MustBeFresh&Nonce=9af1d825,8.109852
/skenario1--1/traffic3?MustBeFresh&Nonce=143175ca,2.803708
/skenario1--1/traffic2?MustBeFresh&Nonce=8a9f40a6,8.741484
/skenario1--1/traffic2?MustBeFresh&Nonce=1c51bf34,1.194487
/skenario1--1/traffic91?MustBeFresh&Nonce=ded32828,8.492918
/skenario1--1/traffic6?MustBeFresh&Nonce=17acf404,9.669887
/skenario1--1/traffic42?MustBeFresh&Nonce=3a337e6f,8.601772
/skenario1--1/traffic37?MustBeFresh&Nonce=e6b16450,8.311988
/skenario1--1/traffic33?MustBeFresh&Nonce=68de06d9,7.821909
/skenario1--1/traffic13?MustBeFresh&Nonce=56e9b88a,2.685301
/skenario1--1/traffic92?MustBeFresh&Nonce=62afeafb,8.247360
/skenario1--1/traffic42?MustBeFresh&Nonce=b0cb42f8,2.469531
/skenario1--1/traffic97?MustBeFresh&Nonce=180cea74,8.071027
/skenario1--1/traffic16?MustBeFresh&Nonce=93903d0a,7.680986
/skenario1--1/traffic6?MustBeFresh&Nonce=60908995,3.478704
/skenario1--1/traffic2?MustBeFresh&Nonce=8b203922,3.043509
/skenario1--1/traffic60?MustBeFresh&Nonce=ee43cd91,8.261084
/skenario1--1/traffic77?MustBeFresh&Nonce=3c7c98f9,7.414495
/skenario1--1/traffic13?MustBeFresh&Nonce=6c46908b,4.001258
/skenario1--1/traffic5?MustBeFresh&Nonce=a57aa536,2.646957
/skenario1--1/traffic2?MustBeFresh&Nonce=45421678,2.578293
/skenario1--1/traffic43?MustBeFresh&Nonce=9e3c2887,8.947563
/skenario1--1/traffic52?MustBeFresh&Nonce=3a928fa9,7.580446
/skenario1--1/traffic5?MustBeFresh&Nonce=5708f9c4,2.693726
/skenario1--1/traffic47?MustBeFresh&Nonce=19d915ea,7.831626
/skenario1--1/traffic3?MustBeFresh&Nonce=8c202e60,2.453120
/skenario1--1/traffic9?MustBeFresh&Nonce=7755f7f0,2.450554
