interest,rtt(ms)
/skenario2--2/traffic15?MustBeFresh&Nonce=a5b1d29b,3.699922
/skenario2--2/traffic7?MustBeFresh&Nonce=6ed498b9,2.911003
/skenario2--2/traffic97?MustBeFresh&Nonce=abc2c811,2.548544
/skenario2--2/traffic4?MustBeFresh&Nonce=4c55b716,4.777089
/skenario2--2/traffic5?MustBeFresh&Nonce=8c28ff7a,4.195049
/skenario2--2/traffic21?MustBeFresh&Nonce=8ac81e1d,3.712357
/skenario2--2/traffic46?MustBeFresh&Nonce=f9c0c21a,6.549061
/skenario2--2/traffic51?MustBeFresh&Nonce=81d1b295,9.996799
/skenario2--2/traffic56?MustBeFresh&Nonce=c4541a4a,8.392203
/skenario2--2/traffic62?MustBeFresh&Nonce=74e76f9a,5.798685
/skenario2--2/traffic1?MustBeFresh&Nonce=ea86dde5,5.707677
/skenario2--2/traffic1?MustBeFresh&Nonce=f135f59d,3.019528
/skenario2--2/traffic65?MustBeFresh&Nonce=fd886a02,6.227339
/skenario2--2/traffic42?MustBeFresh&Nonce=498e27d2,6.349754
/skenario2--2/traffic4?MustBeFresh&Nonce=506bfa3e,6.269280
/skenario2--2/traffic26?MustBeFresh&Nonce=d1d82f62,6.336493
/skenario2--2/traffic28?MustBeFresh&Nonce=ee9900d5,6.049813
/skenario2--2/traffic5?MustBeFresh&Nonce=dd110f90,5.339477
/skenario2--2/traffic23?MustBeFresh&Nonce=498b6542,12.881413
/skenario2--2/traffic6?MustBeFresh&Nonce=63f24ce8,10.432114
/skenario2--2/traffic6?MustBeFresh&Nonce=3cd3748a,5.958246
/skenario2--2/traffic1?MustBeFresh&Nonce=28ec0679,5.919796
/skenario2--2/traffic3?MustBeFresh&Nonce=488d1dd2,5.959010
/skenario2--2/traffic81?MustBeFresh&Nonce=6d1f693e,7.285500
/skenario2--2/traffic98?MustBeFresh&Nonce=50b2caa2,15.612340
/skenario2--2/traffic97?MustBeFresh&Nonce=6b6d2e69,10.527192
/skenario2--2/traffic97?MustBeFresh&Nonce=e34cc4c5,6.078304
/skenario2--2/traffic1?MustBeFresh&Nonce=49e7cc59,6.448735
/skenario2--2/traffic9?MustBeFresh&Nonce=81d3bb9e,6.075276
/skenario2--2/traffic4?MustBeFresh&Nonce=70e2b83c,6.088926
/skenario2--2/traffic88?MustBeFresh&Nonce=0c504d6b,5.844874
/skenario2--2/traffic56?MustBeFresh&Nonce=3bdc0cb9,5.706103
/skenario2--2/traffic8?MustBeFresh&Nonce=35e169ce,7.702134
/skenario2--2/traffic32?MustBeFresh&Nonce=c91dca45,11.339041
/skenario2--2/traffic18?MustBeFresh&Nonce=f0e9cb35,11.054314
/skenario2--2/traffic24?MustBeFresh&Nonce=06098c8b,12.752202
/skenario2--2/traffic6?MustBeFresh&Nonce=9479e99c,16.721707
/skenario2--2/traffic1?MustBeFresh&Nonce=91f3e3eb,19.420827
/skenario2--2/traffic13?MustBeFresh&Nonce=bb1d8e8a,21.850751
/skenario2--2/traffic23?MustBeFresh&Nonce=8e526e5f,21.608064
/skenario2--2/traffic35?MustBeFresh&Nonce=cc98eecc,24.620271
/skenario2--2/traffic25?MustBeFresh&Nonce=df52c783,23.671322
/skenario2--2/traffic27?MustBeFresh&Nonce=f32e492c,24.802347
/skenario2--2/traffic27?MustBeFresh&Nonce=9f1c7e22,16.286294
/skenario2--2/traffic27?MustBeFresh&Nonce=80ef1b8e,12.422558
/skenario2--2/traffic29?MustBeFresh&Nonce=dac83cd3,21.729961
/skenario2--2/traffic48?MustBeFresh&Nonce=440d4a2e,21.600583
/skenario2--2/traffic36?MustBeFresh&Nonce=79540153,20.744406
/skenario2--2/traffic62?MustBeFresh&Nonce=317137bb,20.957079
/skenario2--2/traffic3?MustBeFresh&Nonce=813fb3ea,20.720627
/skenario2--2/traffic3?MustBeFresh&Nonce=11aec97b,15.522236
/skenario2--2/traffic4?MustBeFresh&Nonce=adc5603d,20.948118
/skenario2--2/traffic4?MustBeFresh&Nonce=d6ab7d4a,1.497156
/skenario2--2/traffic20?MustBeFresh&Nonce=8932f569,20.824433
/skenario2--2/traffic20?MustBeFresh&Nonce=caa8a647,1.128147
/skenario2--2/traffic2?MustBeFresh&Nonce=71d481b3,20.254525
/skenario2--2/traffic28?MustBeFresh&Nonce=ef437238,19.542012
/skenario2--2/traffic19?MustBeFresh&Nonce=a11dd87e,17.872308
/skenario2--2/traffic79?MustBeFresh&Nonce=0340d655,23.358235
/skenario2--2/traffic82?MustBeFresh&Nonce=7b8862ff,14.212215
/skenario2--2/traffic5?MustBeFresh&Nonce=f370b416,11.175750
/skenario2--2/traffic5?MustBeFresh&Nonce=00771ede,10.451908
/skenario2--2/traffic72?MustBeFresh&Nonce=e796ab39,13.685665
/skenario2--2/traffic69?MustBeFresh&Nonce=8ed2d529,12.936644
/skenario2--2/traffic11?MustBeFresh&Nonce=3740206d,17.172017
/skenario2--2/traffic1?MustBeFresh&Nonce=6a86e352,9.261791
/skenario2--2/traffic1?MustBeFresh&Nonce=ca8c7cfe,2.350603
/skenario2--2/traffic54?MustBeFresh&Nonce=c7973cfb,10.690529
/skenario2--2/traffic4?MustBeFresh&Nonce=f6949ecf,2.343678
/skenario2--2/traffic1?MustBeFresh&Nonce=6fe0e6e5,6.508947
/skenario2--2/traffic57?MustBeFresh&Nonce=986be7bd,11.706493
/skenario2--2/traffic5?MustBeFresh&Nonce=c21c9c3e,11.046027
/skenario2--2/traffic82?MustBeFresh&Nonce=f65c795c,10.661274
/skenario2--2/traffic15?MustBeFresh&Nonce=4903137c,10.125865
/skenario2--2/traffic38?MustBeFresh&Nonce=e230140b,18.730534
/skenario2--2/traffic60?MustBeFresh&Nonce=4028d575,16.550924
/skenario2--2/traffic3?MustBeFresh&Nonce=917e87a1,10.134714
/skenario2--2/traffic61?MustBeFresh&Nonce=61cc6dba,12.272358
/skenario2--2/traffic9?MustBeFresh&Nonce=78d06fc8,14.639215
/skenario2--2/traffic11?MustBeFresh&Nonce=6f63326d,14.214429
/skenario2--2/traffic4?MustBeFresh&Nonce=c1ccf6a9,14.327611
/skenario2--2/traffic12?MustBeFresh&Nonce=972b4b45,16.648647
/skenario2--2/traffic26?MustBeFresh&Nonce=75190674,18.800504
/skenario2--2/traffic13?MustBeFresh&Nonce=8015d58d,20.790579
/skenario2--2/traffic24?MustBeFresh&Nonce=b30075b3,21.379554
/skenario2--2/traffic56?MustBeFresh&Nonce=3f9e1a7e,23.654771
/skenario2--2/traffic87?MustBeFresh&Nonce=64808212,27.080589
/skenario2--2/traffic5?MustBeFresh&Nonce=f8570808,22.646735
/skenario2--2/traffic2?MustBeFresh&Nonce=d2c7c6ac,22.862453
/skenario2--2/traffic2?MustBeFresh&Nonce=6990612d,13.117995
/skenario2--2/traffic8?MustBeFresh&Nonce=0ca7bb33,22.150782
/skenario2--2/traffic8?MustBeFresh&Nonce=ea401057,17.685276
/skenario2--2/traffic92?MustBeFresh&Nonce=9a31243f,29.705693
/skenario2--2/traffic41?MustBeFresh&Nonce=6a3f42ad,32.545207
/skenario2--2/traffic99?MustBeFresh&Nonce=a2502e3f,27.599271
/skenario2--2/traffic99?MustBeFresh&Nonce=14590811,3.197865
/skenario2--2/traffic18?MustBeFresh&Nonce=59936698,30.689858
/skenario2--2/traffic18?MustBeFresh&Nonce=65926873,18.347327
/skenario2--2/traffic18?MustBeFresh&Nonce=e7ed814e,6.785791
/skenario2--2/traffic88?MustBeFresh&Nonce=0620f1b2,35.024386
/skenario2--2/traffic3?MustBeFresh&Nonce=d19ec5ea,34.373031
/skenario2--2/traffic3?MustBeFresh&Nonce=1e6f44ec,33.792700
/skenario2--2/traffic3?MustBeFresh&Nonce=f08a38b6,8.773209
/skenario2--2/traffic68?MustBeFresh&Nonce=6e9ea2db,39.911102
/skenario2--2/traffic9?MustBeFresh&Nonce=b396638e,39.261077
/skenario2--2/traffic9?MustBeFresh&Nonce=77b9d409,9.324906
/skenario2--2/traffic7?MustBeFresh&Nonce=4f08acf5,36.768118
/skenario2--2/traffic7?MustBeFresh&Nonce=edd2cfd7,33.041370
/skenario2--2/traffic1?MustBeFresh&Nonce=354d8ad9,37.155994
/skenario2--2/traffic1?MustBeFresh&Nonce=0390f709,21.255654
/skenario2--2/traffic1?MustBeFresh&Nonce=3ff8b946,17.128840
/skenario2--2/traffic17?MustBeFresh&Nonce=d49aa2b9,48.601310
/skenario2--2/traffic17?MustBeFresh&Nonce=902c60eb,46.424798
/skenario2--2/traffic18?MustBeFresh&Nonce=1a936059,17.944192
/skenario2--2/traffic93?MustBeFresh&Nonce=4b98b748,47.995884
/skenario2--2/traffic72?MustBeFresh&Nonce=d7e71bf3,41.403030
/skenario2--2/traffic29?MustBeFresh&Nonce=0b83478c,39.732666
/skenario2--2/traffic55?MustBeFresh&Nonce=3042cbd7,43.726483
/skenario2--2/traffic98?MustBeFresh&Nonce=3e3b624a,39.532658
/skenario2--2/traffic8?MustBeFresh&Nonce=aed6debf,34.583520
/skenario2--2/traffic81?MustBeFresh&Nonce=6da1f1f1,34.028699
/skenario2--2/traffic81?MustBeFresh&Nonce=37151791,32.695476
/skenario2--2/traffic31?MustBeFresh&Nonce=2743887f,33.642928
/skenario2--2/traffic22?MustBeFresh&Nonce=ba2bb315,33.419725
/skenario2--2/traffic22?MustBeFresh&Nonce=4a43091b,29.493723
/skenario2--2/traffic22?MustBeFresh&Nonce=2df7c051,13.149720
/skenario2--2/traffic42?MustBeFresh&Nonce=fd3385d9,32.141674
/skenario2--2/traffic1?MustBeFresh&Nonce=535c0808,9.500394
