PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,9996,0,0.040000,0.000000,264356.543700,26.446233,
1,545,545,0,0.000000,0.000000,11532.930738,21.161341
2,429,429,0,0.000000,0.000000,9868.211055,23.002823
3,348,348,0,0.000000,0.000000,8018.853253,23.042682
4,364,364,0,0.000000,0.000000,8369.500235,22.993133
5,322,322,0,0.000000,0.000000,7322.786548,22.741573
6,302,302,0,0.000000,0.000000,8354.691418,27.664541
7,256,256,0,0.000000,0.000000,5958.373611,23.274897
8,204,204,0,0.000000,0.000000,5212.982641,25.553836
9,214,214,0,0.000000,0.000000,5907.921930,27.607112
10,201,201,0,0.000000,0.000000,4757.678113,23.670040
11,207,207,0,0.000000,0.000000,4596.654108,22.206058
12,230,230,0,0.000000,0.000000,5517.054291,23.987193
13,164,164,0,0.000000,0.000000,4382.172056,26.720561
14,139,139,0,0.000000,0.000000,3284.154022,23.627007
15,178,178,0,0.000000,0.000000,4859.024981,27.297893
16,144,144,0,0.000000,0.000000,3675.712945,25.525784
17,162,162,0,0.000000,0.000000,3971.923424,24.518046
18,159,159,0,0.000000,0.000000,4000.477516,25.160236
19,112,112,0,0.000000,0.000000,2673.031823,23.866356
20,141,141,0,0.000000,0.000000,3938.971465,27.935968
21,111,111,0,0.000000,0.000000,3072.739517,27.682338
22,114,114,0,0.000000,0.000000,3331.204262,29.221090
23,109,109,0,0.000000,0.000000,3085.244688,28.304997
24,119,119,0,0.000000,0.000000,3712.891956,31.200773
25,108,108,0,0.000000,0.000000,2690.024981,24.907639
26,108,108,0,0.000000,0.000000,3070.294020,28.428648
27,108,108,0,0.000000,0.000000,2672.781691,24.747979
28,112,112,0,0.000000,0.000000,2910.572763,25.987257
29,99,99,0,0.000000,0.000000,2278.143838,23.011554
30,84,84,0,0.000000,0.000000,2572.849674,30.629163
31,87,87,0,0.000000,0.000000,2389.213334,27.462222
32,107,107,0,0.000000,0.000000,2863.940201,26.765796
33,88,88,0,0.000000,0.000000,2332.181834,26.502066
34,72,72,0,0.000000,0.000000,1955.032967,27.153236
35,87,87,0,0.000000,0.000000,2385.522459,27.419798
36,65,65,0,0.000000,0.000000,1714.055399,26.370083
37,82,81,0,1.219512,0.000000,2450.695594,30.255501
38,89,89,0,0.000000,0.000000,2268.955030,25.493877
39,98,98,0,0.000000,0.000000,2452.153668,25.021976
40,69,69,0,0.000000,0.000000,2090.557291,30.297932
41,77,77,0,0.000000,0.000000,2139.376630,27.784112
42,98,98,0,0.000000,0.000000,2816.472412,28.739514
43,82,82,0,0.000000,0.000000,2537.196869,30.941425
44,83,83,0,0.000000,0.000000,2231.190880,26.881818
45,67,67,0,0.000000,0.000000,1885.299895,28.138804
46,75,75,0,0.000000,0.000000,2016.285195,26.883803
47,69,69,0,0.000000,0.000000,1988.766838,28.822708
48,78,78,0,0.000000,0.000000,2096.288148,26.875489
49,74,74,0,0.000000,0.000000,2155.465898,29.127918
50,59,59,0,0.000000,0.000000,1947.175412,33.002973
51,66,66,0,0.000000,0.000000,2044.592673,30.978677
52,77,77,0,0.000000,0.000000,2015.179232,26.171159
53,72,72,0,0.000000,0.000000,1996.064036,27.723112
54,56,56,0,0.000000,0.000000,1415.843172,25.282914
55,58,58,0,0.000000,0.000000,1667.207532,28.744957
56,52,50,0,3.846154,0.000000,1927.656954,38.553139
57,52,52,0,0.000000,0.000000,1426.196885,27.426863
58,56,56,0,0.000000,0.000000,1367.279683,24.415709
59,63,63,0,0.000000,0.000000,1663.420324,26.403497
60,56,56,0,0.000000,0.000000,1717.540482,30.670366
61,55,55,0,0.000000,0.000000,1188.688313,21.612515
62,63,63,0,0.000000,0.000000,3086.176860,48.986934
63,49,49,0,0.000000,0.000000,1348.570837,27.521854
64,55,55,0,0.000000,0.000000,1934.435376,35.171552
65,57,57,0,0.000000,0.000000,1661.480856,29.148787
66,53,53,0,0.000000,0.000000,1732.999700,32.698108
67,69,69,0,0.000000,0.000000,2187.287650,31.699821
68,50,50,0,0.000000,0.000000,1220.061223,24.401224
69,56,56,0,0.000000,0.000000,1735.647206,30.993700
70,58,58,0,0.000000,0.000000,2010.674597,34.666803
71,38,38,0,0.000000,0.000000,979.436803,25.774653
72,39,39,0,0.000000,0.000000,1907.901508,48.920551
73,59,59,0,0.000000,0.000000,1578.935674,26.761622
74,55,55,0,0.000000,0.000000,1436.704636,26.121902
75,63,63,0,0.000000,0.000000,1941.790569,30.822073
76,48,48,0,0.000000,0.000000,1207.797160,25.162441
77,43,43,0,0.000000,0.000000,1280.588508,29.781128
78,69,69,0,0.000000,0.000000,2060.677353,29.864889
79,39,39,0,0.000000,0.000000,1099.923492,28.203166
80,53,53,0,0.000000,0.000000,1500.665917,28.314451
81,49,48,0,2.040816,0.000000,1297.474473,27.030718
82,51,51,0,0.000000,0.000000,1565.221512,30.690618
83,36,36,0,0.000000,0.000000,1050.803862,29.188996
84,42,42,0,0.000000,0.000000,1700.174470,40.480345
85,39,39,0,0.000000,0.000000,1138.732114,29.198259
86,57,57,0,0.000000,0.000000,1463.542337,25.676181
87,40,40,0,0.000000,0.000000,1289.224262,32.230607
88,37,37,0,0.000000,0.000000,1066.663531,28.828744
89,44,44,0,0.000000,0.000000,1297.675931,29.492635
90,41,41,0,0.000000,0.000000,1260.220547,30.737087
91,48,48,0,0.000000,0.000000,1213.823766,25.287995
92,35,35,0,0.000000,0.000000,905.041967,25.858342
93,47,47,0,0.000000,0.000000,1402.615786,29.842889
94,37,37,0,0.000000,0.000000,1209.130832,32.679212
95,39,39,0,0.000000,0.000000,1280.045240,32.821673
96,35,35,0,0.000000,0.000000,863.079104,24.659403
97,43,43,0,0.000000,0.000000,1265.657271,29.433890
98,36,36,0,0.000000,0.000000,912.392679,25.344241
99,36,36,0,0.000000,0.000000,763.115980,21.197666
100,30,30,0,0.000000,0.000000,754.803308,25.160110
