PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,39597.765886,3.959777,
1,531,531,0,0.000000,0.000000,1544.600524,2.908852
2,428,428,0,0.000000,0.000000,1264.334923,2.954054
3,379,379,0,0.000000,0.000000,1131.699839,2.986015
4,377,377,0,0.000000,0.000000,1124.870270,2.983741
5,333,333,0,0.000000,0.000000,1022.840645,3.071594
6,251,251,0,0.000000,0.000000,799.210856,3.184107
7,264,264,0,0.000000,0.000000,836.067359,3.166922
8,240,240,0,0.000000,0.000000,769.975026,3.208229
9,229,229,0,0.000000,0.000000,738.796323,3.226185
10,191,191,0,0.000000,0.000000,643.348165,3.368315
11,191,191,0,0.000000,0.000000,651.188171,3.409362
12,187,187,0,0.000000,0.000000,632.730545,3.383586
13,180,180,0,0.000000,0.000000,601.194629,3.339970
14,159,159,0,0.000000,0.000000,561.383676,3.530715
15,150,150,0,0.000000,0.000000,529.130287,3.527535
16,157,157,0,0.000000,0.000000,535.873025,3.413204
17,145,145,0,0.000000,0.000000,514.417692,3.547708
18,158,158,0,0.000000,0.000000,548.651735,3.472479
19,123,123,0,0.000000,0.000000,463.427316,3.767702
20,126,126,0,0.000000,0.000000,473.892804,3.761054
21,129,129,0,0.000000,0.000000,487.412978,3.778395
22,134,134,0,0.000000,0.000000,490.002498,3.656735
23,102,102,0,0.000000,0.000000,389.762065,3.821197
24,107,107,0,0.000000,0.000000,424.889047,3.970926
25,106,106,0,0.000000,0.000000,475.232376,4.483324
26,105,105,0,0.000000,0.000000,410.356489,3.908157
27,106,106,0,0.000000,0.000000,478.023564,4.509656
28,103,103,0,0.000000,0.000000,413.992868,4.019348
29,121,121,0,0.000000,0.000000,463.393146,3.829695
30,94,94,0,0.000000,0.000000,378.410527,4.025644
31,99,99,0,0.000000,0.000000,380.016425,3.838550
32,83,83,0,0.000000,0.000000,356.317729,4.292985
33,105,105,0,0.000000,0.000000,410.419966,3.908762
34,95,95,0,0.000000,0.000000,388.826026,4.092906
35,79,79,0,0.000000,0.000000,357.208458,4.521626
36,92,92,0,0.000000,0.000000,373.007360,4.054428
37,97,97,0,0.000000,0.000000,381.307532,3.931005
38,86,86,0,0.000000,0.000000,363.597980,4.227883
39,89,89,0,0.000000,0.000000,369.516118,4.151866
40,93,93,0,0.000000,0.000000,438.499875,4.715052
41,68,68,0,0.000000,0.000000,315.321348,4.637079
42,67,67,0,0.000000,0.000000,294.716280,4.398750
43,79,79,0,0.000000,0.000000,347.830596,4.402919
44,88,88,0,0.000000,0.000000,355.341318,4.037970
45,65,65,0,0.000000,0.000000,313.019707,4.815688
46,69,69,0,0.000000,0.000000,330.681390,4.792484
47,77,77,0,0.000000,0.000000,332.039096,4.312196
48,84,84,0,0.000000,0.000000,362.885494,4.320065
49,53,53,0,0.000000,0.000000,262.412847,4.951186
50,56,56,0,0.000000,0.000000,267.132761,4.770228
51,58,58,0,0.000000,0.000000,265.125211,4.571124
52,58,58,0,0.000000,0.000000,270.462834,4.663152
53,64,64,0,0.000000,0.000000,301.814562,4.715853
54,55,55,0,0.000000,0.000000,275.689918,5.012544
55,59,59,0,0.000000,0.000000,285.056964,4.831474
56,53,53,0,0.000000,0.000000,320.331910,6.043998
57,57,57,0,0.000000,0.000000,277.156244,4.862390
58,63,63,0,0.000000,0.000000,317.247582,5.035676
59,54,54,0,0.000000,0.000000,261.768953,4.847573
60,63,63,0,0.000000,0.000000,301.157954,4.780285
61,58,58,0,0.000000,0.000000,287.316454,4.953732
62,50,50,0,0.000000,0.000000,252.928027,5.058561
63,53,53,0,0.000000,0.000000,259.610720,4.898315
64,55,55,0,0.000000,0.000000,276.437904,5.026144
65,57,57,0,0.000000,0.000000,285.247692,5.004345
66,55,55,0,0.000000,0.000000,293.228506,5.331427
67,60,60,0,0.000000,0.000000,293.206115,4.886769
68,53,53,0,0.000000,0.000000,267.694228,5.050834
69,44,44,0,0.000000,0.000000,248.076088,5.638093
70,55,55,0,0.000000,0.000000,273.338386,4.969789
71,56,56,0,0.000000,0.000000,273.803429,4.889347
72,53,53,0,0.000000,0.000000,267.893302,5.054591
73,38,38,0,0.000000,0.000000,199.862522,5.259540
74,42,42,0,0.000000,0.000000,224.218562,5.338537
75,41,41,0,0.000000,0.000000,274.504685,6.695236
76,53,53,0,0.000000,0.000000,246.597956,4.652792
77,38,38,0,0.000000,0.000000,203.874831,5.365127
78,59,59,0,0.000000,0.000000,298.978811,5.067437
79,40,40,0,0.000000,0.000000,219.381933,5.484548
80,51,51,0,0.000000,0.000000,290.524929,5.696567
81,45,45,0,0.000000,0.000000,234.639698,5.214216
82,59,59,0,0.000000,0.000000,278.578859,4.721676
83,41,41,0,0.000000,0.000000,230.172190,5.613956
84,51,51,0,0.000000,0.000000,247.004793,4.843231
85,45,45,0,0.000000,0.000000,238.825248,5.307228
86,43,43,0,0.000000,0.000000,222.004373,5.162892
87,38,38,0,0.000000,0.000000,268.427442,7.063880
88,40,40,0,0.000000,0.000000,216.108054,5.402701
89,52,52,0,0.000000,0.000000,269.969553,5.191722
90,41,41,0,0.000000,0.000000,227.858438,5.557523
91,47,47,0,0.000000,0.000000,230.486567,4.903970
92,40,40,0,0.000000,0.000000,212.002965,5.300074
93,45,45,0,0.000000,0.000000,249.218009,5.538178
94,50,50,0,0.000000,0.000000,255.111638,5.102233
95,41,41,0,0.000000,0.000000,218.900515,5.339037
96,37,37,0,0.000000,0.000000,206.946497,5.593149
97,40,40,0,0.000000,0.000000,227.623665,5.690592
98,49,49,0,0.000000,0.000000,263.264360,5.372742
99,34,34,0,0.000000,0.000000,183.780497,5.405309
100,37,37,0,0.000000,0.000000,205.097639,5.543179
