PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,9996,0,0.040000,0.000000,378329.898143,37.848129,
1,537,537,0,0.000000,0.000000,10956.373012,20.402929
2,433,433,0,0.000000,0.000000,10569.954060,24.410979
3,424,423,0,0.235849,0.000000,10388.561420,24.559247
4,355,354,0,0.281690,0.000000,8294.960145,23.432091
5,296,296,0,0.000000,0.000000,7315.144102,24.713325
6,284,284,0,0.000000,0.000000,7724.621119,27.199370
7,251,251,0,0.000000,0.000000,6824.784973,27.190378
8,235,235,0,0.000000,0.000000,6973.368320,29.673908
9,225,225,0,0.000000,0.000000,6316.018883,28.071195
10,196,196,0,0.000000,0.000000,5157.494170,26.313746
11,208,208,0,0.000000,0.000000,5362.378158,25.780664
12,172,172,0,0.000000,0.000000,5222.431843,30.362976
13,158,158,0,0.000000,0.000000,4589.523237,29.047615
14,176,176,0,0.000000,0.000000,5265.339468,29.916702
15,199,199,0,0.000000,0.000000,5460.663827,27.440522
16,160,160,0,0.000000,0.000000,4834.771001,30.217319
17,140,140,0,0.000000,0.000000,3985.555055,28.468250
18,157,157,0,0.000000,0.000000,5161.251459,32.874213
19,136,136,0,0.000000,0.000000,4025.111843,29.596411
20,134,134,0,0.000000,0.000000,14578.967632,108.798266
21,135,135,0,0.000000,0.000000,3961.815270,29.346780
22,117,117,0,0.000000,0.000000,4929.408599,42.131697
23,121,121,0,0.000000,0.000000,4099.223196,33.877878
24,108,108,0,0.000000,0.000000,3435.019058,31.805732
25,121,121,0,0.000000,0.000000,4452.220347,36.795209
26,123,123,0,0.000000,0.000000,3375.018984,27.439179
27,96,96,0,0.000000,0.000000,4160.166778,43.335071
28,94,94,0,0.000000,0.000000,3053.536733,32.484433
29,102,102,0,0.000000,0.000000,3717.033449,36.441504
30,109,109,0,0.000000,0.000000,2943.400050,27.003670
31,100,100,0,0.000000,0.000000,3251.123927,32.511239
32,77,77,0,0.000000,0.000000,4270.492007,55.460935
33,84,84,0,0.000000,0.000000,3621.923264,43.118134
34,71,71,0,0.000000,0.000000,4405.371119,62.047481
35,89,89,0,0.000000,0.000000,2489.897942,27.976381
36,84,84,0,0.000000,0.000000,4521.451156,53.826799
37,67,67,0,0.000000,0.000000,2837.171143,42.345838
38,83,83,0,0.000000,0.000000,3110.944410,37.481258
39,94,94,0,0.000000,0.000000,3512.211249,37.363949
40,58,58,0,0.000000,0.000000,2384.548998,41.112914
41,87,87,0,0.000000,0.000000,3003.787917,34.526298
42,74,74,0,0.000000,0.000000,2764.494873,37.358039
43,80,80,0,0.000000,0.000000,4516.969901,56.462124
44,66,66,0,0.000000,0.000000,2020.745406,30.617355
45,64,64,0,0.000000,0.000000,3287.264680,51.363511
46,60,60,0,0.000000,0.000000,2932.692116,48.878202
47,77,77,0,0.000000,0.000000,3123.217477,40.561266
48,68,68,0,0.000000,0.000000,4018.674055,59.098148
49,67,67,0,0.000000,0.000000,2481.793347,37.041692
50,78,78,0,0.000000,0.000000,3400.324109,43.593899
51,54,54,0,0.000000,0.000000,2578.828032,47.756075
52,57,57,0,0.000000,0.000000,2743.317601,48.128379
53,68,68,0,0.000000,0.000000,2219.965517,32.646552
54,61,61,0,0.000000,0.000000,2562.523067,42.008575
55,60,60,0,0.000000,0.000000,2489.367612,41.489460
56,55,55,0,0.000000,0.000000,2470.344153,44.915348
57,53,53,0,0.000000,0.000000,2666.404817,50.309525
58,62,62,0,0.000000,0.000000,4828.362173,77.876809
59,55,55,0,0.000000,0.000000,3208.517316,58.336678
60,51,49,0,3.921569,0.000000,2726.954430,55.652131
61,45,45,0,0.000000,0.000000,2419.850139,53.774448
62,75,75,0,0.000000,0.000000,3068.556822,40.914091
63,51,51,0,0.000000,0.000000,1430.047594,28.040149
64,49,49,0,0.000000,0.000000,3053.124252,62.308658
65,60,60,0,0.000000,0.000000,3543.658356,59.060973
66,43,43,0,0.000000,0.000000,2528.861493,58.810732
67,60,60,0,0.000000,0.000000,2876.152010,47.935867
68,57,57,0,0.000000,0.000000,2609.141071,45.774405
69,48,48,0,0.000000,0.000000,2119.775926,44.161998
70,51,51,0,0.000000,0.000000,2713.901635,53.213758
71,53,53,0,0.000000,0.000000,4303.583996,81.199698
72,57,57,0,0.000000,0.000000,2221.434482,38.972535
73,46,46,0,0.000000,0.000000,4321.935826,93.955127
74,56,56,0,0.000000,0.000000,2297.428079,41.025501
75,53,53,0,0.000000,0.000000,2606.277843,49.175054
76,49,49,0,0.000000,0.000000,3145.878322,64.201598
77,44,44,0,0.000000,0.000000,1339.970742,30.453880
78,50,50,0,0.000000,0.000000,3223.138778,64.462776
79,42,42,0,0.000000,0.000000,3166.519664,75.393325
80,49,49,0,0.000000,0.000000,3178.533440,64.868029
81,48,48,0,0.000000,0.000000,3764.082226,78.418380
82,34,34,0,0.000000,0.000000,2733.275085,80.390444
83,45,45,0,0.000000,0.000000,3088.706066,68.637913
84,42,42,0,0.000000,0.000000,3103.315267,73.888459
85,52,52,0,0.000000,0.000000,2227.973354,42.845641
86,52,52,0,0.000000,0.000000,3165.849357,60.881718
87,33,33,0,0.000000,0.000000,1658.508188,50.257824
88,45,45,0,0.000000,0.000000,2389.491599,53.099813
89,49,49,0,0.000000,0.000000,1747.506616,35.663400
90,30,30,0,0.000000,0.000000,2886.501194,96.216706
91,40,40,0,0.000000,0.000000,2632.003886,65.800097
92,38,38,0,0.000000,0.000000,1479.436289,38.932534
93,38,38,0,0.000000,0.000000,2396.893534,63.076146
94,46,46,0,0.000000,0.000000,1920.342603,41.746578
95,40,40,0,0.000000,0.000000,2627.498590,65.687465
96,51,51,0,0.000000,0.000000,4077.836682,79.957582
97,42,42,0,0.000000,0.000000,2645.220520,62.981441
98,50,50,0,0.000000,0.000000,2180.947871,43.618957
99,36,36,0,0.000000,0.000000,1791.875336,49.774315
100,45,45,0,0.000000,0.000000,2061.063405,45.801409
