interest,rtt(ms)
/skenario1--3/traffic22?MustBeFresh&Nonce=ec038db6,15.322257
/skenario1--3/traffic22?MustBeFresh&Nonce=e5ff394c,9.591496
/skenario1--3/traffic16?MustBeFresh&Nonce=1118f396,16.621651
/skenario1--3/traffic20?MustBeFresh&Nonce=6d70663f,18.568349
/skenario1--3/traffic22?MustBeFresh&Nonce=61be4552,10.031004
/skenario1--3/traffic1?MustBeFresh&Nonce=4b3dce45,25.149004
/skenario1--3/traffic1?MustBeFresh&Nonce=939857dc,19.825349
/skenario1--3/traffic1?MustBeFresh&Nonce=be1e3ebb,3.945695
/skenario1--3/traffic56?MustBeFresh&Nonce=e4066270,22.003937
/skenario1--3/traffic56?MustBeFresh&Nonce=1f36c694,10.508959
/skenario1--3/traffic24?MustBeFresh&Nonce=5a3c89f9,22.094810
/skenario1--3/traffic41?MustBeFresh&Nonce=7e1b9b1e,22.134389
/skenario1--3/traffic2?MustBeFresh&Nonce=dbbe1d35,22.077853
/skenario1--3/traffic2?MustBeFresh&Nonce=3d2b62c7,21.173613
/skenario1--3/traffic27?MustBeFresh&Nonce=fdfc4f8c,22.138449
/skenario1--3/traffic27?MustBeFresh&Nonce=edfddb12,14.485704
/skenario1--3/traffic21?MustBeFresh&Nonce=24fe95d1,22.009180
/skenario1--3/traffic4?MustBeFresh&Nonce=86aa2d04,22.083203
/skenario1--3/traffic4?MustBeFresh&Nonce=c28891c6,6.887174
/skenario1--3/traffic33?MustBeFresh&Nonce=2b90e084,21.956214
/skenario1--3/traffic78?MustBeFresh&Nonce=32b38f50,21.615339
/skenario1--3/traffic48?MustBeFresh&Nonce=0cf55af1,20.815159
/skenario1--3/traffic13?MustBeFresh&Nonce=fda8cfa3,19.853925
/skenario1--3/traffic67?MustBeFresh&Nonce=695269ac,19.389433
/skenario1--3/traffic12?MustBeFresh&Nonce=2b599f58,18.542911
/skenario1--3/traffic100?MustBeFresh&Nonce=ff2cd614,17.897990
/skenario1--3/traffic8?MustBeFresh&Nonce=3888f892,15.935272
/skenario1--3/traffic55?MustBeFresh&Nonce=3a0ad0ba,15.252658
/skenario1--3/traffic35?MustBeFresh&Nonce=00c3a4a1,14.104934
/skenario1--3/traffic9?MustBeFresh&Nonce=e67de96e,15.732834
/skenario1--3/traffic20?MustBeFresh&Nonce=17185c8b,9.824740
/skenario1--3/traffic21?MustBeFresh&Nonce=aaa2447f,10.588083
/skenario1--3/traffic1?MustBeFresh&Nonce=52fd5b21,10.385784
/skenario1--3/traffic31?MustBeFresh&Nonce=3de734a1,25.905401
/skenario1--3/traffic18?MustBeFresh&Nonce=bba7237d,23.681149
/skenario1--3/traffic55?MustBeFresh&Nonce=6e8b5708,15.137612
/skenario1--3/traffic77?MustBeFresh&Nonce=3201eb26,17.826537
/skenario1--3/traffic79?MustBeFresh&Nonce=14dec80f,16.610225
/skenario1--3/traffic73?MustBeFresh&Nonce=a44306d1,16.468994
