PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,9999,0,0.010000,0.000000,297070.446884,29.710016,
1,502,502,0,0.000000,0.000000,9572.766082,19.069255
2,488,488,0,0.000000,0.000000,9970.141684,20.430618
3,397,397,0,0.000000,0.000000,8718.338938,21.960551
4,326,326,0,0.000000,0.000000,7417.400977,22.752764
5,283,283,0,0.000000,0.000000,6947.765994,24.550410
6,290,290,0,0.000000,0.000000,6815.827886,23.502855
7,241,241,0,0.000000,0.000000,5874.220806,24.374360
8,246,246,0,0.000000,0.000000,5507.897146,22.389826
9,230,230,0,0.000000,0.000000,5647.786335,24.555593
10,219,219,0,0.000000,0.000000,5372.070230,24.530001
11,176,176,0,0.000000,0.000000,4126.764085,23.447523
12,196,196,0,0.000000,0.000000,4793.384049,24.456041
13,188,188,0,0.000000,0.000000,4654.626579,24.758652
14,147,147,0,0.000000,0.000000,4732.455315,32.193574
15,144,144,0,0.000000,0.000000,5469.543950,37.982944
16,144,144,0,0.000000,0.000000,3868.442207,26.864182
17,139,139,0,0.000000,0.000000,4194.985211,30.179750
18,133,133,0,0.000000,0.000000,3186.209339,23.956461
19,150,150,0,0.000000,0.000000,5457.186284,36.381242
20,132,132,0,0.000000,0.000000,3662.574164,27.746774
21,127,127,0,0.000000,0.000000,3887.038346,30.606601
22,127,127,0,0.000000,0.000000,4060.531018,31.972685
23,125,125,0,0.000000,0.000000,3336.343718,26.690750
24,108,108,0,0.000000,0.000000,3845.926497,35.610431
25,105,105,0,0.000000,0.000000,3234.613295,30.805841
26,90,90,0,0.000000,0.000000,2539.728152,28.219202
27,102,102,0,0.000000,0.000000,3030.727525,29.713015
28,102,102,0,0.000000,0.000000,3346.094301,32.804846
29,110,110,0,0.000000,0.000000,2747.208149,24.974620
30,102,102,0,0.000000,0.000000,2878.697940,28.222529
31,95,95,0,0.000000,0.000000,2411.144585,25.380469
32,97,97,0,0.000000,0.000000,3276.434663,33.777677
33,87,87,0,0.000000,0.000000,2289.554537,26.316719
34,96,96,0,0.000000,0.000000,3348.818982,34.883531
35,78,78,0,0.000000,0.000000,1806.852500,23.164776
36,93,93,0,0.000000,0.000000,3186.161024,34.259796
37,81,81,0,0.000000,0.000000,2687.669902,33.181110
38,87,87,0,0.000000,0.000000,2628.586333,30.213636
39,88,88,0,0.000000,0.000000,2197.348206,24.969866
40,70,70,0,0.000000,0.000000,3150.693274,45.009904
41,92,92,0,0.000000,0.000000,3188.854322,34.661460
42,54,54,0,0.000000,0.000000,1359.843064,25.182279
43,73,73,0,0.000000,0.000000,3746.227181,51.318181
44,74,74,0,0.000000,0.000000,3311.206092,44.746028
45,77,77,0,0.000000,0.000000,3129.057144,40.637106
46,75,74,0,1.333333,0.000000,2245.721459,30.347587
47,61,61,0,0.000000,0.000000,3095.011068,50.737886
48,83,83,0,0.000000,0.000000,2196.516474,26.464054
49,65,65,0,0.000000,0.000000,1905.621803,29.317259
50,68,68,0,0.000000,0.000000,2685.587941,39.493940
51,68,68,0,0.000000,0.000000,2328.911132,34.248693
52,67,67,0,0.000000,0.000000,1553.988760,23.193862
53,51,51,0,0.000000,0.000000,1917.200276,37.592162
54,62,62,0,0.000000,0.000000,3363.263266,54.246182
55,72,72,0,0.000000,0.000000,2902.596654,40.313842
56,59,59,0,0.000000,0.000000,1655.587674,28.060808
57,63,63,0,0.000000,0.000000,1950.448367,30.959498
58,57,57,0,0.000000,0.000000,1940.771898,34.048630
59,68,68,0,0.000000,0.000000,2139.119071,31.457633
60,64,64,0,0.000000,0.000000,2350.783991,36.731000
61,62,62,0,0.000000,0.000000,2016.210060,32.519517
62,57,57,0,0.000000,0.000000,1619.643031,28.414790
63,54,54,0,0.000000,0.000000,2996.345191,55.487874
64,51,51,0,0.000000,0.000000,2081.765920,40.818940
65,53,53,0,0.000000,0.000000,1576.580693,29.746806
66,53,53,0,0.000000,0.000000,3871.186862,73.041262
67,49,49,0,0.000000,0.000000,2733.205571,55.779706
68,44,44,0,0.000000,0.000000,1507.638614,34.264514
69,62,62,0,0.000000,0.000000,2449.068371,39.501103
70,43,43,0,0.000000,0.000000,1240.962822,28.859601
71,71,71,0,0.000000,0.000000,1972.344362,27.779498
72,49,49,0,0.000000,0.000000,1921.710737,39.218586
73,64,64,0,0.000000,0.000000,1838.514551,28.726790
74,46,46,0,0.000000,0.000000,1362.296369,29.615138
75,44,44,0,0.000000,0.000000,4284.669428,97.378851
76,71,71,0,0.000000,0.000000,1676.620854,23.614378
77,45,45,0,0.000000,0.000000,2324.735983,51.660800
78,47,47,0,0.000000,0.000000,1504.267466,32.005691
79,41,41,0,0.000000,0.000000,1265.378311,30.862886
80,42,42,0,0.000000,0.000000,1150.959211,27.403791
81,51,51,0,0.000000,0.000000,2052.793556,40.250854
82,42,42,0,0.000000,0.000000,1629.235137,38.791313
83,51,51,0,0.000000,0.000000,1238.761171,24.289435
84,31,31,0,0.000000,0.000000,771.645794,24.891800
85,41,41,0,0.000000,0.000000,1631.323829,39.788386
86,50,50,0,0.000000,0.000000,1414.203095,28.284062
87,37,37,0,0.000000,0.000000,1706.576339,46.123685
88,47,47,0,0.000000,0.000000,1727.122334,36.747284
89,35,35,0,0.000000,0.000000,1385.348632,39.581389
90,44,44,0,0.000000,0.000000,1111.431448,25.259806
91,38,38,0,0.000000,0.000000,1315.149443,34.609196
