interest,rtt(ms)
/skenario2-3-benerin/traffic19?MustBeFresh&Nonce=550e64d1,9.295288
/skenario2-3-benerin/traffic53?MustBeFresh&Nonce=6d7618e2,9.490003
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=eb37f66d,10.183661
/skenario2-3-benerin/traffic5?MustBeFresh&Nonce=a7ded40c,8.393216
/skenario2-3-benerin/traffic3?MustBeFresh&Nonce=da12e3c8,10.634362
/skenario2-3-benerin/traffic12?MustBeFresh&Nonce=2cefb997,9.036131
/skenario2-3-benerin/traffic12?MustBeFresh&Nonce=e6b0c72d,2.730850
/skenario2-3-benerin/traffic20?MustBeFresh&Nonce=fff28efc,8.404972
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=d9ccc788,9.371636
/skenario2-3-benerin/traffic85?MustBeFresh&Nonce=921c9d50,8.883679
/skenario2-3-benerin/traffic18?MustBeFresh&Nonce=ac2f0642,8.670275
/skenario2-3-benerin/traffic34?MustBeFresh&Nonce=7ec14a49,8.775383
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=9d050427,2.905317
/skenario2-3-benerin/traffic85?MustBeFresh&Nonce=1642d55a,3.250249
/skenario2-3-benerin/traffic4?MustBeFresh&Nonce=7a8733ee,9.028767
/skenario2-3-benerin/traffic8?MustBeFresh&Nonce=5cdf8baa,8.880379
/skenario2-3-benerin/traffic44?MustBeFresh&Nonce=d5b9daf8,8.921597
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=458d188a,3.035875
/skenario2-3-benerin/traffic94?MustBeFresh&Nonce=485e8e31,9.212177
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=3621225c,2.959488
/skenario2-3-benerin/traffic19?MustBeFresh&Nonce=9b594af5,2.847792
/skenario2-3-benerin/traffic82?MustBeFresh&Nonce=ead2c9d4,9.372521
/skenario2-3-benerin/traffic83?MustBeFresh&Nonce=2b3e44c1,9.489538
/skenario2-3-benerin/traffic25?MustBeFresh&Nonce=bd8203f0,8.654880
/skenario2-3-benerin/traffic6?MustBeFresh&Nonce=fca05ec4,9.162101
/skenario2-3-benerin/traffic5?MustBeFresh&Nonce=444cc224,2.902382
/skenario2-3-benerin/traffic82?MustBeFresh&Nonce=3f68954e,3.079572
/skenario2-3-benerin/traffic24?MustBeFresh&Nonce=52349d10,9.299391
/skenario2-3-benerin/traffic54?MustBeFresh&Nonce=37861a6a,9.305936
/skenario2-3-benerin/traffic62?MustBeFresh&Nonce=0b8e64ce,8.753279
/skenario2-3-benerin/traffic94?MustBeFresh&Nonce=0c31f2fa,2.959341
/skenario2-3-benerin/traffic51?MustBeFresh&Nonce=b59cb997,8.469718
/skenario2-3-benerin/traffic73?MustBeFresh&Nonce=8a94b969,8.783769
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=914d78b1,8.517098
/skenario2-3-benerin/traffic63?MustBeFresh&Nonce=6a0b9c35,8.869015
/skenario2-3-benerin/traffic2?MustBeFresh&Nonce=d2923c21,8.488713
/skenario2-3-benerin/traffic19?MustBeFresh&Nonce=1eaff991,3.235864
/skenario2-3-benerin/traffic47?MustBeFresh&Nonce=16e7ab13,8.570385
/skenario2-3-benerin/traffic87?MustBeFresh&Nonce=6c9c8fba,7.670599
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=531963c6,2.840437
/skenario2-3-benerin/traffic37?MustBeFresh&Nonce=962512c0,8.677132
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=85ab4d99,2.802705
/skenario2-3-benerin/traffic6?MustBeFresh&Nonce=330406db,2.920365
/skenario2-3-benerin/traffic3?MustBeFresh&Nonce=9f3151df,3.201020
/skenario2-3-benerin/traffic73?MustBeFresh&Nonce=4220afe0,3.071887
/skenario2-3-benerin/traffic4?MustBeFresh&Nonce=f1283edc,2.891474
/skenario2-3-benerin/traffic9?MustBeFresh&Nonce=e1152493,8.589443
/skenario2-3-benerin/traffic20?MustBeFresh&Nonce=0a2199fc,2.951643
/skenario2-3-benerin/traffic38?MustBeFresh&Nonce=4eabfa8b,9.155980
/skenario2-3-benerin/traffic5?MustBeFresh&Nonce=18d34069,3.166279
/skenario2-3-benerin/traffic23?MustBeFresh&Nonce=2477cdc0,8.566091
