PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,9992,0,0.080000,0.000000,101859.583656,10.194114,
1,531,531,0,0.000000,0.000000,4384.841729,8.257706
2,425,425,0,0.000000,0.000000,3602.503849,8.476480
3,372,372,0,0.000000,0.000000,3329.045143,8.949046
4,340,340,0,0.000000,0.000000,2841.042882,8.356008
5,306,306,0,0.000000,0.000000,2720.053426,8.889063
6,296,296,0,0.000000,0.000000,2570.762173,8.685007
7,284,284,0,0.000000,0.000000,2381.728196,8.386367
8,235,235,0,0.000000,0.000000,1992.797985,8.479991
9,221,221,0,0.000000,0.000000,2060.825833,9.325004
10,233,233,0,0.000000,0.000000,2231.847222,9.578743
11,214,213,0,0.467290,0.000000,2066.004085,9.699550
12,185,185,0,0.000000,0.000000,1724.870699,9.323625
13,199,199,0,0.000000,0.000000,1833.077254,9.211443
14,153,153,0,0.000000,0.000000,1460.305667,9.544481
15,170,170,0,0.000000,0.000000,1917.325175,11.278383
16,129,128,0,0.775194,0.000000,1514.897383,11.835136
17,156,154,0,1.282051,0.000000,1706.710157,11.082533
18,133,133,0,0.000000,0.000000,1394.192002,10.482647
19,128,128,0,0.000000,0.000000,1366.027097,10.672087
20,143,143,0,0.000000,0.000000,1303.638080,9.116350
21,111,110,0,0.900901,0.000000,1216.111829,11.055562
22,124,124,0,0.000000,0.000000,1271.817781,10.256595
23,106,106,0,0.000000,0.000000,1029.862582,9.715685
24,119,119,0,0.000000,0.000000,1184.220290,9.951431
25,96,96,0,0.000000,0.000000,919.021102,9.573136
26,116,116,0,0.000000,0.000000,1068.192891,9.208559
27,100,100,0,0.000000,0.000000,1022.510133,10.225101
28,110,110,0,0.000000,0.000000,1168.277904,10.620708
29,113,112,0,0.884956,0.000000,1187.595684,10.603533
30,109,109,0,0.000000,0.000000,1137.724323,10.437838
31,62,62,0,0.000000,0.000000,679.861862,10.965514
32,84,84,0,0.000000,0.000000,816.385586,9.718876
33,92,92,0,0.000000,0.000000,906.198111,9.849979
34,96,96,0,0.000000,0.000000,968.679358,10.090410
35,92,92,0,0.000000,0.000000,1013.047868,11.011390
36,80,80,0,0.000000,0.000000,940.212054,11.752651
37,80,80,0,0.000000,0.000000,1015.912167,12.698902
38,82,82,0,0.000000,0.000000,888.035813,10.829705
39,89,89,0,0.000000,0.000000,1019.569623,11.455838
40,75,75,0,0.000000,0.000000,635.013970,8.466853
41,56,56,0,0.000000,0.000000,565.550140,10.099110
42,86,86,0,0.000000,0.000000,952.554844,11.076219
43,55,55,0,0.000000,0.000000,564.218101,10.258511
44,67,67,0,0.000000,0.000000,718.445517,10.723067
45,66,66,0,0.000000,0.000000,650.461923,9.855484
46,64,64,0,0.000000,0.000000,670.819318,10.481552
47,84,84,0,0.000000,0.000000,875.292471,10.420148
48,70,70,0,0.000000,0.000000,891.269222,12.732417
49,71,71,0,0.000000,0.000000,1052.572931,14.824971
50,73,73,0,0.000000,0.000000,778.133031,10.659357
51,53,53,0,0.000000,0.000000,623.362260,11.761552
52,68,68,0,0.000000,0.000000,789.818432,11.614977
53,76,76,0,0.000000,0.000000,793.868889,10.445643
54,60,60,0,0.000000,0.000000,666.845813,11.114097
55,66,66,0,0.000000,0.000000,606.421923,9.188211
56,59,59,0,0.000000,0.000000,635.389477,10.769313
57,62,62,0,0.000000,0.000000,714.962261,11.531649
58,53,53,0,0.000000,0.000000,575.757691,10.863353
59,63,63,0,0.000000,0.000000,681.209051,10.812842
60,59,59,0,0.000000,0.000000,620.895118,10.523646
61,65,65,0,0.000000,0.000000,838.949538,12.906916
62,57,57,0,0.000000,0.000000,810.102464,14.212324
63,40,40,0,0.000000,0.000000,425.942133,10.648553
64,50,50,0,0.000000,0.000000,622.424704,12.448494
65,62,62,0,0.000000,0.000000,639.481512,10.314218
66,58,58,0,0.000000,0.000000,699.094663,12.053356
67,51,51,0,0.000000,0.000000,549.876217,10.781887
68,53,53,0,0.000000,0.000000,676.075048,12.756133
69,60,59,0,1.666667,0.000000,601.013589,10.186671
70,34,34,0,0.000000,0.000000,446.243585,13.124811
71,51,51,0,0.000000,0.000000,570.364007,11.183608
